id,precio,superficie_total,superficie_util,superficie_terraza,ambientes,dormitorios,banos,estacionamientos,cant_max_habitantes,bodegas,gastos_comunes,cantidad_pisos,departamentos_piso,numero_piso_unidad,comuna
823,400000.0,45.0,45.0,0.0,2,2,1,1,0,0,45000.0,0,0,0,san miguel
824,1600000.0,0.0,155.0,0.0,0,0,0,0,0,0,0.0,0,0,0,ñuñoa
825,1334.0,39.0,37.0,0.0,1,1,1,0,0,1,55000.0,0,0,0,ñuñoa
828,380000.0,52.0,50.0,0.0,2,2,1,0,0,0,57000.0,0,0,0,otras
829,480000.0,55.0,55.0,0.0,0,2,1,1,5,1,100000.0,5,8,312,la florida
830,2114.0,67.0,65.0,0.0,2,2,2,1,0,1,100000.0,0,0,0,las condes
831,380000.0,60.0,60.0,0.0,2,2,1,0,0,0,120000.0,0,0,0,santiago
832,450000.0,54.0,49.0,5.0,0,2,2,0,4,0,90000.0,18,8,15,santiago
833,450000.0,0.0,49.0,0.0,0,0,0,0,0,0,60000.0,0,0,0,otras
834,29.0,70.0,65.0,0.0,2,2,2,1,0,0,100000.0,0,0,0,las condes
835,530000.0,75.0,75.0,0.0,0,3,2,1,0,0,75000.0,19,10,10,san miguel
836,311250.0,45.0,43.0,0.0,2,2,1,0,0,1,60000.0,0,0,0,santiago
837,1200000.0,140.0,135.0,0.0,3,3,3,1,0,1,200000.0,0,0,0,las condes
838,2190000.0,194.0,190.0,0.0,3,3,3,1,0,0,360000.0,0,0,0,otras
839,540000.0,0.0,65.0,0.0,0,0,0,0,0,0,100000.0,0,0,0,otras
841,3029.0,110.0,100.0,0.0,3,3,3,1,0,1,100000.0,0,0,0,las condes
842,219000.0,0.0,44.0,0.0,0,0,0,0,0,0,5000.0,0,0,0,estación central
843,680000.0,5911.0,54.0,0.0,0,2,2,1,0,1,95000.0,0,0,0,ñuñoa
844,40.0,0.0,110.0,0.0,0,0,0,0,0,0,300000.0,0,0,0,providencia
845,330000.0,50.0,47.0,0.0,3,3,1,0,0,0,45000.0,0,0,0,la cisterna
846,400000.0,0.0,50.0,0.0,0,0,0,0,0,0,100000.0,0,0,0,santiago
848,227500.0,55.0,50.0,0.0,2,2,2,1,0,1,60000.0,0,0,0,estación central
849,350000.0,48.0,48.0,0.0,0,2,1,1,0,0,0.0,0,0,0,san miguel
850,62.0,0.0,105.0,0.0,0,0,0,0,0,0,180000.0,0,0,0,las condes
852,84.0,390.0,360.0,0.0,4,4,5,2,0,1,1200000.0,0,0,0,otras
853,650000.0,65.0,65.0,0.0,1,1,1,1,0,1,110000.0,0,0,0,las condes
854,446000.0,54.0,54.0,0.0,0,2,2,0,0,0,104000.0,10,20,2,santiago
855,25.0,109.0,95.0,14.0,0,3,2,1,0,1,200000.0,12,4,6,ñuñoa
856,530000.0,45.0,40.0,2.0,0,1,1,1,2,1,95000.0,20,8,9,ñuñoa
857,430000.0,39.0,34.0,0.0,1,1,1,1,0,1,60000.0,0,0,0,ñuñoa
858,280000.0,30.0,30.0,0.0,1,1,1,0,0,0,70000.0,0,0,0,santiago
859,60.0,0.0,216.0,0.0,0,0,0,0,0,0,300000.0,0,0,0,las condes
860,33.0,100.0,96.0,5.0,7,4,3,2,0,1,180000.0,0,0,1,las condes
861,480000.0,0.0,62.0,0.0,0,0,0,0,0,0,80000.0,0,0,0,santiago
862,286000.0,29.0,29.0,1.0,0,1,1,0,0,0,68000.0,22,10,2,santiago
866,250000.0,25.0,25.0,0.0,1,1,1,0,0,0,40000.0,0,0,0,santiago
867,400000.0,50.0,50.0,0.0,2,2,2,1,0,0,80000.0,0,0,0,otras
868,558000.0,415.0,36.0,0.0,0,1,1,0,2,0,90000.0,25,17,7,ñuñoa
869,300000.0,36.0,36.0,0.0,0,1,1,0,0,0,70000.0,0,0,3,san miguel
870,1860.0,67.0,60.0,0.0,3,3,2,1,0,1,63000.0,0,0,0,otras
871,20.0,109.0,92.0,0.0,3,3,2,1,0,1,130000.0,0,0,0,otras
